name,price,original_price,image,brand,url,scraped_at
"BALO MWC 1321 - Balo Mini Phong Cách Hàn Quốc Đi Học, Đi Chơi, Đi Làm Siêu Bền Đẹp, Thời Trang.",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2026/04/06/z7696732523134_a475edcc09b6b1b624631b9bd5729596.jpg,MWC,https://mwc.com.vn/products/balo-mwc-balo--1321?c=den,2026-04-19T00:26:39.802577
"Balô Túi Đeo Chéo MWC 0869 - Túi Mini Dáng Hộp, Xách Tay, Đeo Chéo, Nhỏ Gọn, Trẻ Trung, Tiện Lợi.",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2026/04/06/z7696739012063_adb85e28f054504df25b41aaa8a86eff.jpg,MWC,https://mwc.com.vn/products/balo-tui-deo-cheo-mwc-tuid--0869?c=den,2026-04-19T00:26:39.802577
"Giày Sandal Nam MWC 7052 - Sandal Nam Quai Ngang Chéo Phối Lót Dán Thời Trang, Sandal Nam Đi Học, Đi Làm, Đi Chơi Thanh Lịch, Trẻ Trung.",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2024/12/01/z6082888657485_beab7354e1014c5b8c7efb09e0e8e930.jpg,MWC,https://mwc.com.vn/products/giay-sandal-nam-mwc-nasd--7052?c=xam,2026-04-19T00:26:39.802577
"Giày Sandal Nam MWC 7103 - Sandal Nam Quai Ngang Bản To Phối Quai Hậu Có Khóa Gài Thanh Lịch, Thoải Mái, Nam Tính.",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2025/08/30/z6905196444858_6f8a03626d402ed87f477c56495c948c.jpg,MWC,https://mwc.com.vn/products/giay-sandal-nam-mwc-nasd--7103?c=den,2026-04-19T00:26:39.803951
"Dép Nam MWC 9254 - Dép Nam Quai Da Ngang Bản To Phối Khoá Kim Loại Nam Tính, Thời Trang.",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2026/01/04/z7343264921701_4e9a7b46c0211e78647f4caae21b7507.jpg,MWC,https://mwc.com.vn/products/dep-nam-mwc-nade--9254?c=nau,2026-04-19T00:26:39.803951
"Dép Nam MWC 9223 - Dép Nam Quai Da Kẹp Cao Cấp, Nam Tính, Sang Trọng, Bền Đẹp, Thời Trang.",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2026/01/19/z7439502214109_40483952b04a808bc51172a7ea2f39a4.jpg,MWC,https://mwc.com.vn/products/dep-nam-mwc-nade--9223?c=den,2026-04-19T00:26:39.803951
"Giày Tây Nam MWC 6678 - Giày Mọi Nam Cao Cấp, Giày Da Slip On Công Sở Lịch Lãm, Thời Trang.",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2025/04/22/z6529118690335-e8af5c45b998974416af36113d5ae7bffec10ca6-fbc7-47f5-9d9d-b1dfc6bd4e0e.jpg,MWC,https://mwc.com.vn/products/giay-moi-nam-mwc-namo--6678?c=den,2026-04-19T00:26:39.804659
"Giày Mọi Nam MWC 6703 - Giày Slip-On Nam Công Sở Lịch Lãm, Họa Tiết Da Miếng Thời Trang Sáng Bóng, Sang Trọng.",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2025/06/13/z6698751722148_519beef513af5fd7632090b5537bfca3.jpg,MWC,https://mwc.com.vn/products/giay-moi-nam-mwc-namo--6703?c=den,2026-04-19T00:26:39.804659
"Giày Thể Thao Nam MWC 5811 - Giày Da Thể Thao Nam Đi Học, Đi Chơi, Leo Núi, Chạy Bộ Siêu Bền Đẹp, Thời trang.",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2025/10/26/z7156294017420_d79d851d8ccaf736e3643b020998bca0.jpg,MWC,https://mwc.com.vn/products/giay-the-thao-nam-mwc-natt--5811?c=den,2026-04-19T00:26:39.804659
"Giày Thể Thao Nam MWC 5812 - Giày Sneaker Nam Da Cao Cấp, Leo Núi, Chạy Bộ, Đi Học Đi Chơi Cool Ngầu.",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Product/2025/10/27/z7156449427510_83f6af2c4ad282aa335a587c6c4262bc.jpg,MWC,https://mwc.com.vn/products/giay-the-thao-nam-mwc-natt--5812?c=den,2026-04-19T00:26:39.804659
"Giày Búp Bê MWC – Thanh Lịch, Dễ Thương Và Dễ Phối Cho Dịp cuối năm",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Post/2025/12/19/z7337487970238_ef21dc7aac1def348622fe1f4cc9dd2f.jpg,MWC,https://mwc.com.vn/post/giay-bup-be,2026-04-19T00:26:39.804659
"Các Mẫu Sandal Nên Sở Hữu Dịp Cuối Năm – Thoải Mái, Thời Trang Và Dễ Phối Đồ",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Post/2025/12/19/z7337487962465_b7e246f719a62fd3b9877405d25800f9.jpg,MWC,https://mwc.com.vn/post/giay-sandal-nu-cuoi-nam,2026-04-19T00:26:39.804659
"Giày Thể Thao MWC Đẹp Mắt, Dễ Phối, Giá “Mềm” Cho Mọi Phong Cách",,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Post/2025/11/18/z7235800573079-4f91c7b0f687f37829495346fa1b3c089e578418-be5e-4c7a-b815-3eb085774d6a.jpg,MWC,https://mwc.com.vn/post/giay-the-thao-nu,2026-04-19T00:26:39.805659
Bí Quyết Giữ Giày Dép Không Bốc Mùi Trong Ngày Hè Nóng Bức,,,https://img.mwc.com.vn/giay-thoi-trang?w=640&h=640&FileInput=/Resources/Post/2025/04/17/491939667_703051458784616_7674632254681312858_n.jpg,MWC,https://mwc.com.vn/post/httpsmwccomvncollectionsgiay-cao-got,2026-04-19T00:26:39.805659
